"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"DATO:
DATI ANALITICI CORPI IDRICI FLUVIALI","","FONTE DATI:
ARPA Lombardia","ANNO DI RIFERIMENTO:
2018","","Sostanze Perfluoroalchiliche 
– PFAS – ","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"BACINO IDROGRAFICO","CORSO D'ACQUA","CORPO IDRICO","PROVINCIA","COMUNE","COORD X","COORD Y","Codice Stazione","DATA CAMPIONAMENTO","SOSTANZA","CAS","UM","CONCENTRAZIONE"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","3/20/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","3/20/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","3/20/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,011"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","3/20/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","3/20/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","3/20/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","3/20/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0078"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","3/20/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,007"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","3/20/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","6/14/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,007"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","6/14/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,007"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","6/14/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","0,007"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","6/14/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","6/14/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","6/14/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,011"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","6/14/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","6/14/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","6/14/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,05"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","6/14/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0082"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","6/14/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,008"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","6/14/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","8/8/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","8/8/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,018"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","8/8/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","8/8/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","8/8/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","8/8/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,009"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","8/8/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","8/8/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","8/8/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,011"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","8/8/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,019"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","8/8/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,016"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","8/8/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","11/29/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","11/29/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","11/29/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","11/29/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","11/29/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","11/29/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,011"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","11/29/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","11/29/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","11/29/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,012"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","11/29/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0044"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","11/29/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,01"
"LAMBRO","Lambro (Fiume)","IT03N0080446LO","LO","Sant'Angelo Lodigiano","532540","5010046","N0080446lo1","11/29/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","3/20/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,008"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","3/20/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,022"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","3/20/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","3/20/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","3/20/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,007"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","3/20/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,011"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","3/20/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","3/20/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","3/20/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,01"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","3/20/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0104"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","3/20/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","3/20/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","6/14/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,008"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","6/14/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,042"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","6/14/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","6/14/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","6/14/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,006"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","6/14/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,011"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","6/14/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","6/14/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","6/14/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,014"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","6/14/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,009"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","6/14/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,007"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","6/14/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","8/8/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,029"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","8/8/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,234"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","8/8/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","8/8/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","8/8/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,006"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","8/8/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,015"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","8/8/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","8/8/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","8/8/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,018"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","8/8/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,011"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","8/8/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,027"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","8/8/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","11/29/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","11/29/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,031"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","11/29/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","11/29/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","11/29/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","11/29/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","0,008"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","11/29/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","11/29/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","11/29/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,011"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","11/29/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,005"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","11/29/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","0,006"
"OLONA-LAMBRO MERIDIONALE","Lambro Meridionale (Fiume)","IT03N0080440022LO","LO","Sant'Angelo Lodigiano","531753","5009630","N0080440022lo1","11/29/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","3/28/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","3/28/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,009"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","3/28/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","3/28/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","3/28/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","3/28/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","3/28/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","3/28/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","3/28/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,006"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","3/28/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0029"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","3/28/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","3/28/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","4/26/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","4/26/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","4/26/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","4/26/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","4/26/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","4/26/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","4/26/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","4/26/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","4/26/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","4/26/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0017"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","4/26/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"Po","Po (Fiume)","ITIRN00814IR","LO","Somaglia","549962","4997541","N00814ir1","4/26/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
